paper_name https://www.aclweb.org/anthology/events/acl-2020/#2020-acl-main,"Stage {1,2,3,4}",track https://acl2020.org/blog/general-conference-statistics/,"social good domain {bias mitigation, education, equality, fighting misinformation, green NLP, healthcare, interpretability, legal applications, low-resource language, mental healthcare, robustness, science literature parsing, and others}",author
Beyond User Self-Reported Likert Scale Ratings: A Comparison Model for Automatic Dialog Evaluation,2,metric; dialog,,"Weixin Liang, James Zou and Zhou Yu"
ScriptWriter: Narrative-Guided Script Generation,3,generation,,"Yutao Zhu, Ruihua Song, Zhicheng Dou, Jian-Yun Nie and Jin Zhou"
Out of the Echo Chamber: Detecting Countering Debate Speeches,4,social media,,"Matan Orbach, Yonatan Bilu, Assaf Toledo, Dan Lahav, Michal Jacovi, Ranit Aharonov and Noam Slonim"
Explicit Memory Tracker with Coarse-to-Fine Reasoning for Conversational Machine Reading,3,question answering; dialog,,"Yifan Gao, Chien-Sheng Wu, Shafiq Joty, Caiming Xiong, Richard Socher, Irwin King, Michael Lyu and Steven C.H. Hoi"
Diversifying Dialogue Generation with Non-Conversational Text,3,dialog,,"Hui Su, Xiaoyu Shen, Sanqiang Zhao, Zhou Xiao, Pengwei Hu, Randy Zhong, Cheng Niu and Jie Zhou"
Transition-based Directed Graph Construction for Emotion-Cause Pair Extraction,3,emotion detection,,"Chuang Fan, Chaofa Yuan, Jiachen Du, Lin Gui, Min Yang and Ruifeng Xu"
Learning to Recover from Multi-Modality Errors for Non-Autoregressive Neural Machine Translation,3,machine translation,,"Qiu Ran, Yankai Lin, Peng Li and Jie Zhou"
That is a Known Lie: Detecting Previously Fact-Checked Claims,4,misinformation,misinformation,"Shaden Shaar, Nikolay Babulkov, Giovanni Da San Martino and Preslav Nakov"
Mapping Natural Language Instructions to Mobile UI Action Sequences,4,interactive system,,"Yang Li, Jiacong He, Xin Zhou, Yuan Zhang and Jason Baldridge"
ASSET: A Dataset for Tuning and Evaluation of Sentence Simplification Models with Multiple Rewriting Transformations,3,simplification,,"Fernando Alva-Manchego, Louis Martin, Antoine Bordes, Carolina Scarton, Benoît Sagot and Lucia Specia"
The Unstoppable Rise of Computational Linguistics in Deep Learning,1,linguistics,,James Henderson
Posterior Control of Blackbox Generation,2,generation; model architecture,,Xiang Lisa Li and Alexander Rush
An Effective Transition-based Model for Discontinuous NER,2,information extraction,,"Xiang Dai, Sarvnaz Karimi, Ben Hachey and Cecile Paris"
Towards Holistic and Automatic Evaluation of Open-Domain Dialogue Generation,2,dialog; metric,,"Bo Pang, Erik Nijkamp, Wenjuan Han, Linqi Zhou, Yixian Liu and Kewei Tu"
Improving Image Captioning with Better Use of Caption,4,caption generation,,"Zhan Shi, Xu Zhou, Xipeng Qiu and Xiaodan Zhu"
Multi-Agent Task-Oriented Dialog Policy Learning with Role-Aware Reward Decomposition,4,dialog,,"Ryuichi Takanobu, Runze Liang and Minlie Huang"
Aspect Sentiment Classification with Document-level Sentiment Preference Modeling,4,sentiment and argument analysis,,"Xiao Chen, Changlong Sun, Jingjing Wang, Shoushan Li, Luo Si, Min Zhang and Guodong Zhou"
Asking and Answering Questions to Evaluate the Factual Consistency of Summaries,4,summarization; misinformation,misinformation,"Alex Wang, Kyunghyun Cho and Mike Lewis"
Machine Reading of Historical Events,4,information extraction,,"Or Honovich, Lucas Torroba Hennigen, Omri Abend and Shay B. Cohen"
Cross-Linguistic Syntactic Evaluation of Word Prediction Models,2,language modeling,,"Aaron Mueller, Garrett Nicolai, Panayiota Petrou-Zeniou, Natalia Talmina and Tal Linzen"
A Formal Hierarchy of RNN Architectures,2,model architecture,,"William Merrill, Gail Weiss, Yoav Goldberg, Roy Schwartz, Noah A. Smith and Eran Yahav"
Obtaining Faithful Interpretations from Compositional Neural Networks,2,interpretability,interpretability,"Sanjay Subramanian, Ben Bogin, Nitish Gupta, Tomer Wolfson, Sameer Singh, Jonathan Berant and Matt Gardner"
Multi-Domain Named Entity Recognition with Genre-Aware and Agnostic Inference,2,information extraction,,"Jing Wang, Mayank Kulkarni and Daniel Preotiuc-Pietro"
History for Visual Dialog: Do we really need it?,2,dialog,,"Shubham Agarwal, Trung Bui, Joon-Young Lee, Ioannis Konstas and Verena Rieser"
MobileBERT: a Compact Task-Agnostic BERT for Resource-Limited Devices,3,model architecture; greenNLP,,"Zhiqing Sun, Hongkun Yu, Xiaodan Song, Renjie Liu, Yiming Yang and Denny Zhou"
The Dialogue Dodecathlon: Open-Domain Knowledge and Image Grounded Conversational Agents,3,dialog; language grounding,,"Kurt Shuster, Da JU, Stephen Roller, Emily Dinan, Y-Lan Boureau and Jason Weston"
Probing Linguistic Systematicity,1;2,linguistics,,"Emily Goodwin, Koustuv Sinha and Timothy J. O’Donnell"
Active Imitation Learning with Noisy Guidance,2,model architecture; information extraction,,"Kianté Brantley, Hal Daumé III and Amr Sharaf"
Exploiting the Syntax-Model Consistency for Neural Relation Extraction,2,information extraction,,"Amir Pouran Ben Veyseh, Franck Dernoncourt, Dejing Dou and Thien Huu Nguyen"
Evaluating Explainable AI: Which Algorithmic Explanations Help Users Predict Model Behavior?,2,interpretability; metrics,interpretability,Peter Hase and Mohit Bansal
Joint Chinese Word Segmentation and Part-of-speech Tagging via Two-way Attentions of Auto-analyzed Knowledge,2,segmentation; tagging,,"Yuanhe Tian, Yan Song, Xiang Ao, Fei Xia, Xiaojun Quan, Tong Zhang and Yonggang Wang"
Hard-Coded Gaussian Attention for Neural Machine Translation,3,machine translation,,"Weiqiu You, Simeng Sun and Mohit Iyyer"
CH-SIMS: A Chinese Multimodal Sentiment Analysis Dataset with Fine-grained Annotation of Modality,3,sentiment and argument analysis,,"Wenmeng Yu, Hua Xu, Fanyang Meng, Yilin Zhu, Yixiao Ma, Jiele Wu, Jiyun Zou and Kaicheng Yang"
RAT-SQL: Relation-Aware Schema Encoding and Linking for Text-to-SQL Parsers,3,semantic parsing,,"Bailin Wang, Richard Shin, Xiaodong Liu, Oleksandr Polozov and Matthew Richardson"
Jointly Learning to Align and Summarize for Neural Cross-Lingual Summarization,3;4,summarization; machine translation,,"Yue Cao, Hui Liu and Xiaojun Wan"
Data Manipulation: Towards Effective Instance Learning for Neural Dialogue Generation via Learning to Augment and Reweight,3,dialog,,"Hengyi Cai, Hongshen Chen, Yonghao Song, Cheng Zhang, Xiaofang Zhao and Dawei Yin"
Perturbed Masking: Parameter-free Probing for Analyzing and Interpreting BERT,2,interpretability,interpretability,"Zhiyong Wu, Yun Chen, Ben Kao and Qun Liu"
Unsupervised Paraphrasing by Simulated Annealing,3,paraphrase,,"Xianggen Liu, Lili Mou, Fandong Meng, Hao Zhou, Jie Zhou and Sen Song"
Extractive Summarization as Text Matching,3,summarization,,"Ming Zhong, Pengfei Liu, Yiran Chen, Danqing Wang, Xipeng Qiu and Xuanjing Huang"
Code and Named Entity Recognition in StackOverflow,4,information extraction; code,,"Jeniya Tabassum, Mounica Maddela, Wei Xu and Alan Ritter"
Named Entity Recognition without Labelled Data: A Weak Supervision Approach,2,information extraction,,"Pierre Lison, Jeremy Barnes, Aliaksandr Hubin and Samia Touileb"
Unsupervised Morphological Paradigm Completion,2,morphology,,"Huiming Jin, Liwei Cai, Yihui Peng, Chen Xia, Arya McCarthy and Katharina Kann"
CraftAssist Instruction Parsing: Semantic Parsing for a Voxel-World Assistant,4,semantic parsing; interactive system,,"Kavya Srinet, Yacine Jernite, Jonathan Gray and Arthur Szlam"
He said “who’s gonna take care of your children when you are at ACL?”: Reported Sexist Acts are Not Sexist,2,bias,bias,"Patricia Chiril, Véronique Moriceau, Farah Benamara, Alda Mari, Gloria Origgi and Marlène Coulomb-Gully"
Neural Topic Modeling with Bidirectional Adversarial Training,2,robustness; topic modeling,,"Rui Wang, Xuemeng Hu, Deyu Zhou, Yulan He, Yuxuan Xiong, Chenchen Ye and Haiyang Xu"
Dice Loss for Data-imbalanced NLP Tasks,2,bias,bias,"Xiaoya Li, Xiaofei Sun, Yuxian Meng, Junjun Liang, Fei Wu and Jiwei Li"
Interactive Construction of User-Centric Dictionary for Text Analytics,4,interactive system,,"Ryosuke Kohita, Issei Yoshida, Hiroshi Kanayama and Tetsuya Nasukawa"
Norm-Based Curriculum Learning for Neural Machine Translation,3,machine translation,,"Xuebo Liu, Houtim Lai, Derek F. Wong and Lidia S. Chao"
A Systematic Assessment of Syntactic Generalization in Neural Language Models,2,language modeling; interpretability,,"Jennifer Hu, Jon Gauthier, Peng Qian, Ethan Wilcox and Roger Levy"
Demographics Should Not Be the Reason of Toxicity: Mitigating Discrimination in Text Classifications with Instance Weighting,4,toxic language; bias,mental health; bias,"Guanhua Zhang, Bing Bai, Junqi Zhang, Kun Bai, Conghui Zhu and Tiejun Zhao"
A Methodology for Creating Question Answering Corpora Using Inverse Data Annotation,2,question answering,,"Jan Deriu, Katsiaryna Mlynchyk, Philippe Schläpfer, Alvaro Rodrigo, Dirk von Grünigen, Nicolas Kaiser, Kurt Stockinger, Eneko Agirre and Mark Cieliebak"
Feature Projection for Improved Text Classification,3,sentiment and argument analysis,,"Qi Qin, Wenpeng Hu and Bing Liu"
Revisiting the Context Window for Cross-lingual Word Embeddings,2,word meaning,,Ryokan Ri and Yoshimasa Tsuruoka
Relational Graph Attention Network for Aspect-based Sentiment Analysis,3,sentiment and argument analysis,,"Kai Wang, Weizhou Shen, Yunyi Yang, Xiaojun Quan and Rui Wang"
Intermediate-Task Transfer Learning with Pretrained Language Models: When and Why Does It Work?,2,language modeling; interpretability,,"Yada Pruksachatkun, Jason Phang, Haokun Liu, Phu Mon Htut, Xiaoyi Zhang, Richard Yuanzhe Pang, Clara Vania, Katharina Kann and Samuel R. Bowman"
Text and Causal Inference: A Review of Using Text to Remove Confounding from Causal Estimates,2,social science,,"Katherine Keith, David Jensen and Brendan O’Connor"
Multi-agent Communication meets Natural Language: Synergies between Functional and Structural Language Learning,2,emergent languages,,"Angeliki Lazaridou, Anna Potapenko and Olivier Tieleman"
Curriculum Learning for Natural Language Understanding,2,information extraction,,"Benfeng Xu, Licheng Zhang, Zhendong Mao, Quan Wang, Hongtao Xie and Yongdong Zhang"
BERTRAM: Improved Word Embeddings Have Big Impact on Contextualized Model Performance,2,word meaning,,Timo Schick and Hinrich Schütze
TAG : Type Auxiliary Guiding for Code Comment Generation,3,code,,"Ruichu Cai, Zhihao Liang, Boyan Xu, zijian li, Yuexing Hao and Yao Chen"
Recurrent Chunking Mechanisms for Long-Text Machine Reading Comprehension,3,question answering,,"Hongyu Gong, Yelong Shen, Dian Yu, Jianshu Chen and Dong Yu"
How Does NLP Benefit Legal System: A Summary of Legal Artificial Intelligence,4,legal and political text,,"Haoxi Zhong, Chaojun Xiao, Cunchao Tu, Tianyang Zhang, Zhiyuan Liu and Maosong Sun"
Modelling Context and Syntactical Features for Aspect-based Sentiment Analysis,3,sentiment and argument analysis,,Minh Hieu Phan and Philip O. Ogunbona
Pre-training Is (Almost) All You Need: An Application to Commonsense Reasoning,3,inference,,"Alexandre Tamborrino, Nicola Pellicanò, Baptiste Pannier, Pascal Voitot and Louise Naudin"
Image-Chat: Engaging Grounded Conversations,4,dialog; language grounding,,"Kurt Shuster, Samuel Humeau, Antoine Bordes and Jason Weston"
Learning Dialog Policies from Weak Demonstrations,3,dialog,,"Gabriel Gordon-Hall, Philip John Gorinski and Shay B. Cohen"
SimulSpeech: End-to-End Simultaneous Speech to Text Translation,3,speech,,"Yi Ren, Jinglin Liu, Xu Tan, Chen Zhang, Tao Qin, Zhou Zhao and Tie-Yan Liu"
Document-Level Event Role Filler Extraction using Multi-Granularity Contextualized Encoding,2,information extraction,,Xinya Du and Claire Cardie
Diverse and Informative Dialogue Generation with Context-Specific Commonsense Knowledge Awareness,3,dialog,,"Sixing Wu, Ying Li, Dawei Zhang, Yang Zhou and Zhonghai Wu"
Dense-Caption Matching and Frame-Selection Gating for Temporal Localization in VideoQA,2,question answering,,"Hyounghun Kim, Zineng Tang and Mohit Bansal"
Hierarchy-Aware Global Model for Hierarchical Text Classification,2,sentiment and argument analysis,,"Jie Zhou, Chunping Ma, Dingkun Long, Guangwei Xu, Ning Ding, Haoyu Zhang, Pengjun Xie and Gongshen Liu"
SKEP: Sentiment Knowledge Enhanced Pre-training for Sentiment Analysis,2,sentiment and argument analysis,,"Hao Tian, Can Gao, Xinyan Xiao, Hao Liu, Bolei He, Hua Wu, Haifeng Wang and Feng Wu"
Influence Paths for Characterizing Subject-Verb Number Agreement in LSTM Language Models,2,language modeling; syntax parsing,,"Kaiji Lu, Piotr Mardziel, Klas Leino, Matt Fredrikson and Anupam Datta"
GCAN: Graph-aware Co-Attention Networks for Explainable Fake News Detection on Social Media,4,misinformation; interpretability,misinformation; interpretability,Yi-Ju Lu and Cheng-Te Li
An Effectiveness Metric for Ordinal Classification: Formal Properties and Experimental Results,2,sentiment and argument analysis; metrics,,"Enrique Amigo, Julio Gonzalo, Stefano Mizzaro and Jorge Carrillo-de-Albornoz"
Discrete Latent Variable Representations for Low-Resource Text Classification,2,sentiment and argument analysis; text representation,,"Shuning Jin, Sam Wiseman, Karl Stratos and Karen Livescu"
LogicalFactChecker: Leveraging Logical Operations for Fact Checking with Graph Module Network,4,misinformation,misinformation,"Wanjun Zhong, Duyu Tang, Zhangyin Feng, Nan Duan, Ming Zhou, Ming Gong, Linjun Shou, Daxin Jiang, Jiahai Wang and Jian Yin"
Temporal Common Sense Acquisition with Minimal Supervision,2,knowledge graph,,"Ben Zhou, Qiang Ning, Daniel Khashabi and Dan Roth"
Dialogue-Based Relation Extraction,3,information extraction; dialog,,"Dian Yu, Kai Sun, Claire Cardie and Dong Yu"
SeqVAT: Virtual Adversarial Training for Semi-Supervised Sequence Labeling,2,information extraction,,"Luoxin Chen, Weitong Ruan, Xinyue Liu and Jianhua Lu"
Predicting Performance for Natural Language Processing Tasks,2,metrics,,"Mengzhou Xia, Antonios Anastasopoulos, Ruochen Xu, Yiming Yang and Graham Neubig"
The Paradigm Discovery Problem,2,morphology,,"Alexander Erdmann, Micha Elsner, Shijie Wu, Ryan Cotterell and Nizar Habash"
When do Word Embeddings Accurately Reflect Surveys on our Beliefs About People?,2,word meaning,,Kenneth Joseph and Jonathan Morgan
Selecting Backtranslated Data from Multiple Sources for Improved Neural Machine Translation,3,machine translation,,"Xabier Soto, Dimitar Shterionov, Alberto Poncelas and Andy Way"
ReInceptionE: Relation-Aware Inception Network with Joint Local-Global Structural Information for Knowledge Graph Embedding,2,knowledge graph,,"Zhiwen Xie, Guangyou Zhou, Jin Liu and Jimmy Xiangji Huang"
INSET: Sentence Infilling with INter-SEntential Transformer,3,language modeling,,"Yichen Huang, Yizhe Zhang, Oussama Elachqar and Yu Cheng"
Multi-Domain Neural Machine Translation with Word-Level Adaptive Layer-wise Domain Mixing,3,machine translation,,"Haoming Jiang, Chen Liang, Chong Wang and Tuo Zhao"
An analysis of the utility of explicit negative examples to improve the syntactic abilities of neural language models,2,language modeling; interpretability,interpretability,Hiroshi Noji and Hiroya Takamura
How does BERT’s attention change when you fine-tune? An analysis methodology and a case study in negation scope,2,language modeling; interpretability,interpretability,Yiyun Zhao and Steven Bethard
TACRED Revisited: A Thorough Evaluation of the TACRED Relation Extraction Task,2,metrics; information extraction,,"Christoph Alt, Aleksandra Gabryszak and Leonhard Hennig"
Examining the State-of-the-Art in News Timeline Summarization,2,summarization,,Demian Gholipour Ghalandari and Georgiana Ifrim
Adversarial NLI: A New Benchmark for Natural Language Understanding,2,robustness; NLI,robustness,"Yixin Nie, Adina Williams, Emily Dinan, Mohit Bansal, Jason Weston and Douwe Kiela"
End-to-End Neural Pipeline for Goal-Oriented Dialogue Systems using GPT-2,3,dialog,,"Donghoon Ham, Jeong-Gwan Lee, Youngsoo Jang and Kee-Eung Kim"
End-to-End Neural Word Alignment Outperforms GIZA++,3,machine translation,,"Thomas Zenkel, Joern Wuebker and John DeNero"
TransS-Driven Joint Learning Architecture for Implicit Discourse Relation Recognition,2,information extraction,,"Ruifang He, Jian Wang, Fengyu Guo and Yugui Han"
Fine-grained Interest Matching for Neural News Recommendation,3;4,recommendation,,"Heyuan Wang, Fangzhao Wu, Zheng Liu and Xing Xie"
To Boldly Query What No One Has Annotated Before? The Frontiers of Corpus Querying,2,information retrieval,,Markus Gärtner and Kerstin Jung
Semantic Graphs for Generating Deep Questions,2,question answering,,"Liangming Pan, Yuxi Xie, Yansong Feng, Tat-Seng Chua and Min-Yen Kan"
Conditional Augmentation for Aspect Term Extraction via Masked Sequence-to-Sequence Generation,2,sentiment and argument analysis,,"Kun Li, Chengbo Chen, Xiaojun Quan, Qing Ling and Yan Song"
On the Inference Calibration of Neural Machine Translation,2,machine translation,,"Shuo Wang, Zhaopeng Tu, Shuming Shi and Yang Liu"
Phone Features Improve Speech Translation,3,speech; machine translation,,Elizabeth Salesky and Alan W Black
Evaluating Explanation Methods for Neural Machine Translation,3,machine translation,,"Jierui Li, Lemao Liu, Huayang Li, Guanlin Li, Guoping Huang and Shuming Shi"
Rigid Formats Controlled Text Generation,2,style transfer,,"Piji Li, Haisong Zhang, Xiaojiang Liu and Shuming Shi"
Graph-to-Tree Learning for Solving Math Word Problems,2,math,,"Jipeng Zhang, Lei Wang, Roy Ka-Wei Lee, Yi Bin, Yan Wang, Jie Shao and Ee-Peng Lim"
Parallel Corpus Filtering via Pre-trained Language Models,2,machine translation,,"Boliang Zhang, Ajay Nagesh and Kevin Knight"
Learning a Multi-Domain Curriculum for Neural Machine Translation,3,machine translation,,"Wei Wang, Ye Tian, Jiquan Ngiam, Yinfei Yang, Isaac Caswell and Zarana Parekh"
Improved Natural Language Generation via Loss Truncation,2,generation; model architecture,,Daniel Kang and Tatsunori Hashimoto
Graph Neural News Recommendation with Unsupervised Preference Disentanglement,3,recommendation,,"Linmei Hu, Siyong Xu, Chen Li, Cheng Yang, Chuan Shi, Nan Duan, Xing Xie and Ming Zhou"
Distilling Knowledge Learned in BERT for Text Generation,2,generation,,"Yen-Chun Chen, Zhe Gan, Yu Cheng, Jingzhou Liu and Jingjing Liu"
Paraphrase Generation by Learning How to Edit from Samples,3,paraphrase,,"Amirhossein Kazemnejad, Mohammadreza Salehi and Mahdieh Soleymani Baghshah"
PeTra: A Sparsely Supervised Memory Model for People Tracking,3,information extraction,,"Shubham Toshniwal, Allyson Ettinger, Kevin Gimpel and Karen Livescu"
Cross-Lingual Unsupervised Sentiment Classification with Multi-View Transfer Learning,3,sentiment and argument analysis,,Hongliang Fei and Ping Li
Learning Constraints for Structured Prediction Using Rectifier Networks,2,semantic parsing,,"Xingyuan Pan, Maitrey Mehta and Vivek Srikumar"
Similarity Analysis of Contextual Word Representation Models,2,word meaning,,"John Wu, Yonatan Belinkov, Hassan Sajjad, Nadir Durrani, Fahim Dalvi and James Glass"
Exploiting Syntactic Structure for Better Language Modeling: A Syntactic Distance Approach,2,language modeling,,"Wenyu DU, Zhouhan Lin, Yikang Shen, Timothy J. O’Donnell, Yoshua Bengio and Yue Zhang"
PLATO: Pre-trained Dialogue Generation Model with Discrete Latent Variable,3,dialog,,"Siqi Bao, Huang He, Fan Wang, Hua Wu and Haifeng Wang"
RikiNet: Reading Wikipedia Pages for Natural Question Answering,3,question answering,,"Dayiheng Liu, Yeyun Gong, Jie Fu, Yu Yan, Jiusheng Chen, Daxin Jiang, Jiancheng Lv and Nan Duan"
Cross-Modality Relevance for Reasoning on Language and Vision,3,inference; language grounding,,"Chen Zheng, Quan Guo and Parisa Kordjamshidi"
Social Bias Frames: Reasoning about Social and Power Implications of Language,4,bias,bias,"Maarten Sap, Saadia Gabriel, Lianhui Qin, Dan Jurafsky, Noah A. Smith and Yejin Choi"
ParaCrawl: Web-Scale Acquisition of Parallel Corpora,2,machine translation,,"Marta Bañón, Pinzhen Chen, Barry Haddow, Kenneth Heafield, Hieu Hoang, Miquel Esplà-Gomis, Mikel L. Forcada, Amir Kamran, Faheem Kirefu, Philipp Koehn, Sergio Ortiz Rojas, Leopoldo Pla Sempere, Gema Ramírez-Sánchez, Elsa Sarrías, Marek Strelec, Brian Thompson, William Waites, Dion Wiggins and Jaume Zaragoza"
Politeness Transfer: A Tag and Generate Approach,3,style transfer,,"Aman Madaan, Amrith Setlur, Tanmay Parekh, Barnabas Poczos, Graham Neubig, Yiming Yang, Ruslan Salakhutdinov, Alan W Black and Shrimai Prabhumoye"
"Climbing towards NLU: On Meaning, Form, and Understanding in the Age of Data",1,trend,,Emily M. Bender and Alexander Koller
Improving Event Detection via Open-domain Trigger Knowledge,2,information extraction,,"Meihan Tong, Bin Xu, Shuai Wang, Yixin Cao, Lei Hou, Juanzi Li and Jun Xie"
Should All Cross-Lingual Embeddings Speak English?,2,word meaning; machine translation,,Antonios Anastasopoulos and Graham Neubig
Connecting Embeddings for Knowledge Graph Entity Typing,2,knowledge graph,,"Yu Zhao, anxiang zhang, Ruobing Xie, Kang Liu and Xiaojie WANG"
Double-Hard Debias: Tailoring Word Embeddings for Gender Bias Mitigation,2,bias; word meaning,bias,"Tianlu Wang, Xi Victoria Lin, Nazneen Fatema Rajani, Bryan McCann, Vicente Ordonez and Caiming Xiong"
Are Natural Language Inference Models IMPPRESsive? Learning IMPlicature and PRESupposition,2,robustness; NLI,robustness,"Paloma Jeretic, Alex Warstadt, Suvrat Bhooshan and Adina Williams"
SciREX: A Challenge Dataset for Document-Level Information Extraction,2,information extraction,,"Sarthak Jain, Madeleine van Zuylen, Hannaneh Hajishirzi and Iz Beltagy"
Addressing Posterior Collapse with Mutual Information for Improved Variational Neural Machine Translation,3,machine translation; model architecture,,"Arya D. McCarthy, Xian Li, Jiatao Gu and Ning Dong"
A Recipe for Creating Multimodal Aligned Datasets for Sequential Tasks,3,language grounding,,"Angela Lin, Sudha Rao, Asli Celikyilmaz, Elnaz Nouri, Chris Brockett, Debadeepta Dey and Bill Dolan"
On the Cross-lingual Transferability of Monolingual Representations,2,text representation; machine translation,,"Mikel Artetxe, Sebastian Ruder and Dani Yogatama"
Relation-Aware Collaborative Learning for Unified Aspect-Based Sentiment Analysis,3,sentiment and argument analysis,,Zhuang Chen and Tieyun Qian
Speak to your Parser: Interactive Text-to-SQL with Natural Language Feedback,2,semantic parsing; interpretability,,"Ahmed Elgohary, Saghar Hosseini and Ahmed Hassan Awadallah"
A Graph-based Coarse-to-fine Method for Unsupervised Bilingual Lexicon Induction,2,machine translation,,"Shuo Ren, Shujie Liu, Ming Zhou and Shuai Ma"
Iterative Edit-Based Unsupervised Sentence Simplification,3,simplification,,"Dhruv Kumar, Lili Mou, Lukasz Golab and Olga Vechtomova"
Measuring Forecasting Skill from Text,3,forecasting,,"Shi Zong, Alan Ritter and Eduard Hovy"
Towards Interpretable Clinical Diagnosis with Bayesian Network Ensembles Stacked on Entity-Aware CNNs,4,interpretability; healthcare,interpretability; healthcare,"Jun Chen, Xiaoya Dai, Quan Yuan, Chao Lu and Haifeng Huang"
Don’t Say That! Making Inconsistent Dialogue Unlikely with Unlikelihood Training,3,dialog,,"Margaret Li, Stephen Roller, Ilia Kulikov, Sean Welleck, Y-Lan Boureau, Kyunghyun Cho and Jason Weston"
TaBERT: Pretraining for Joint Understanding of Textual and Tabular Data,2,language modeling,,"Pengcheng Yin, Graham Neubig, Wen-tau Yih and Sebastian Riedel"
Learning to Faithfully Rationalize by Construction,2,interpretability,interpretability,"Sarthak Jain, Sarah Wiegreffe, Yuval Pinter and Byron C. Wallace"
Hierarchical Modeling for User Personality Prediction: The Role of Message-Level Attention,4,personality prediction,,"Veronica Lynn, Niranjan Balasubramanian and H. Andrew Schwartz"
An Online Semantic-enhanced Dirichlet Model for Short Text Stream Clustering,2,topic modeling,,"Jay Kumar, Junming Shao, Salah Uddin and Wazir Ali"
What are the Goals of Distributional Semantics?,2,semantic parsing,,Guy Emerson
Explaining Black Box Predictions and Unveiling Data Artifacts through Influence Functions,2,interpretability,interpretability,"Xiaochuang Han, Byron C. Wallace and Yulia Tsvetkov"
Neural Syntactic Preordering for Controlled Paraphrase Generation,3,paraphrase,,Tanya Goyal and Greg Durrett
Finding Universal Grammatical Relations in Multilingual BERT,2,language modeling; interpretability,,"Ethan A. Chi, John Hewitt and Christopher D. Manning"
Bilingual Dictionary Based Neural Machine Translation without Using Parallel Sentences,2,machine translation,,"Xiangyu Duan, Baijun Ji, Hao Jia, Min Tan, Min Zhang, Boxing Chen, Weihua Luo and Yue Zhang"
Logical Natural Language Generation from Open-Domain Tables,3,data-to-text generation,,"Wenhu Chen, Jianshu Chen, Yu Su, Zhiyu Chen and William Yang Wang"
DeSePtion: Dual Sequence Prediction and Adversarial Examples for Improved Fact-Checking,3,misinformation,misinformation,"Christopher Hidey, Tuhin Chakrabarty, Tariq Alhindi, Siddharth Varia, Kriste Krstovski, Mona Diab and Smaranda Muresan"
Semantic Scaffolds for Pseudocode-to-Code Generation,3,code,,"Ruiqi Zhong, Mitchell Stern and Dan Klein"
On The Evaluation of Machine Translation SystemsTrained With Back-Translation,2,machine translation; metrics,,"Sergey Edunov, Myle Ott, Marc’Aurelio Ranzato and Michael Auli"
Premise Selection in Natural Language Mathematical Texts,2,math,,Deborah Ferreira and André Freitas
The Summary Loop: Learning to Write Abstractive Summaries Without Examples,3,summarization,,"Philippe Laban, Andrew Hsi, John Canny and Marti A. Hearst"
Multi-Label and Multilingual News Framing Analysis,4,misinformation,misinformation,"Afra Feyza Akyürek, Lei Guo, Randa Elanwar, Prakash Ishwar, Margrit Betke and Derry Tanti Wijaya"
Temporally-Informed Analysis of Named Entity Recognition,2,information extraction,,Shruti Rijhwani and Daniel Preotiuc-Pietro
Null It Out: Guarding Protected Attributes by Iterative Nullspace Projection,2,word meaning,,"Shauli Ravfogel, Yanai Elazar, Hila Gonen, Michael Twiton and Yoav Goldberg"
Generating Fact Checking Explanations,3,misinformation; interpretability,misinformation; interpretability,"Pepa Atanasova, Jakob Grue Simonsen, Christina Lioma and Isabelle Augenstein"
Attentive Pooling with Learnable Norms for Text Representation,2,text representation,,"Chuhan Wu, Fangzhao Wu, Tao Qi, Xiaohui Cui and Yongfeng Huang"
Reasoning with Multimodal Sarcastic Tweets via Modeling Cross-Modality Contrast and Semantic Association,3,social media; inference,,"Nan Xu, Zhixiong Zeng and Wenji Mao"
Good-Enough Compositional Data Augmentation,2,data augmentation,,Jacob Andreas
On the Limitations of Cross-lingual Encoders as Exposed by Reference-Free Machine Translation Evaluation,2,machine translation,,"Wei Zhao, Goran Glavaš, Maxime Peyrard, Yang Gao, Robert West and Steffen Eger"
"Learning Interpretable Relationships between Entities, Relations and Concepts via Bayesian Structure Learning on Open Domain Facts",3,information extraction; interpretability,interpretability,"Jingyuan Zhang, Mingming Sun, Yue Feng and Ping Li"
Jointly Masked Sequence-to-Sequence Model for Non-Autoregressive Neural Machine Translation,3,machine translation,,"Junliang Guo, Linli Xu and Enhong Chen"
ChartDialogs: Plotting from Natural Language Instructions,4,dialog; language grounding,,Yutong Shao and Ndapa Nakashole
Span Selection Pre-training for Question Answering,3,question answering,,"Michael Glass, Alfio Gliozzo, Rishav Chakravarti, Anthony Ferritto, Lin Pan, G P Shrivatsa Bhargav, Dinesh Garg and Avi Sil"
Multidirectional Associative Optimization of Function-Specific Word Representations,2,word meaning,,"Daniela Gerz, Ivan Vulić, Marek Rei, Roi Reichart and Anna Korhonen"
Spying on your neighbors: Fine-grained probing of contextual embeddings for information about surrounding words,2,word meaning,,Josef Klafka and Allyson Ettinger
Document Translation vs. Query Translation for Cross-Lingual Information Retrieval in the Medical Domain,4,information retrieval; healthcare,healthcare,Shadi Saleh and Pavel Pecina
Dynamic Online Conversation Recommendation,3,recommendation; dialog,,"Xingshan Zeng, Jing Li, Lu Wang, Zhiming Mao and Kam-Fai Wong"
