paper_name https://www.aclweb.org/anthology/events/acl-2020/#2020-acl-main,Stage,track,Social Good Topics at ACL 2020,UN 6 goals,country of the first author,affiliaton of the first author,if first author is supported by companies,author
"Simple, Interpretable and Stable Method for Detecting Words with Usage Change across Corpora",2,word meaning,,,France; France,Bar-Ilan University; INRIA,N,"Hila Gonen, Ganesh Jawahar, Djamé Seddah and Yoav Goldberg"
What determines the order of adjectives in English? Comparing efficiency-based theories using dependency treebanks,2,syntax parsing,,,US,UC Irvine,N,"Richard Futrell, William Dyer and Greg Scontras"
Information-Theoretic Probing for Linguistic Structure,2,syntax parsing,,,UK,University of Cambridge,N,"Tiago Pimentel, Josef Valvoda, Rowan Hall Maudslay, Ran Zmigrod, Adina Williams and Ryan Cotterell"
Multi-Sentence Argument Linking,3,sentiment and argument analysis,,,US,Johns Hopkins University,N,"Seth Ebner, Patrick Xia, Ryan Culkin, Kyle Rawlins and Benjamin Van Durme"
TVQA+: Spatio-Temporal Grounding for Video Question Answering,3,question answering,,,US,UNC Chapel Hill,N,"Jie Lei, Licheng Yu, Tamara Berg and Mohit Bansal"
SpanMlt: A Span-based Multi-Task Learning Framework for Pair-wise Aspect and Opinion Terms Extraction,2,information extraction,,,China,Alibaba,Alibaba,"He Zhao, Longtao Huang, Rong Zhang, Quan Lu and Hui Xue"
Knowledge Graph-Augmented Abstractive Summarization with Semantic-Driven Cloze Reward,3,summarization,,,US,Northeastern University,N,"Luyang Huang, Lingfei Wu and Lu Wang"
Biomedical Entity Representations with Synonym Marginalization,2,information extraction; knowledge graph,healthcare,health and wellbeing,Korea,Korea University,N,"Mujeen Sung, Hwisang Jeon, Jinhyuk Lee and Jaewoo Kang"
Improving Disentangled Text Representation Learning with Information-Theoretic Guidance,2,text representation,,,US,Duke University,NEC Labs America,"Pengyu Cheng, Martin Renqiang Min, Dinghan Shen, Christopher Malon, Yizhe Zhang, Yitong Li and Lawrence Carin"
GoEmotions: A Dataset of Fine-Grained Emotions,3,emotion detection,,,US,Stanford University,Google,"Dorottya Demszky, Dana Movshovitz-Attias, Jeongwoo Ko, Alan Cowen, Gaurav Nemade and Sujith Ravi"
MIND: A Large-scale Dataset for News Recommendation,4,recommendation,,,China,Microsoft,Microsoft,"Fangzhao Wu, Ying Qiao, Jiun-Hung Chen, Chuhan Wu, Tao Qi, Jianxun Lian, Danyang Liu, Xing Xie, Jianfeng Gao, Winnie Wu and Ming Zhou"
Structural Information Preserving for Graph-to-Text Generation,3,data-to-text generation,,,US,Tencent,Tencent,"Linfeng Song, Ante Wang, Jinsong Su, Yue Zhang, Kun Xu, Yubin Ge and Dong Yu"
Joint Modelling of Emotion and Abusive Language Detection,4,emotion detection; toxic language,mental healthcare,health and wellbeing,Netherlands,University of Amsterdam,N,"Santhosh Rajamanickam, Pushkar Mishra, Helen Yannakoudakis and Ekaterina Shutova"
Efficient Second-Order TreeCRF for Neural Dependency Parsing,2,syntax parsing,,,China,Soochow University,N,"Yu Zhang, Zhenghua Li and Min Zhang"
Automatic Generation of Citation Texts in Scholarly Papers: A Pilot Study,2,citation generation,,,China,Peking University,N,"Xinyu Xing, Xiaosheng Fan and Xiaojun Wan"
Towards Unsupervised Language Understanding and Generation by Joint Dual Learning,2,information extraction; data-to-text generation,,,Taiwan,National Taiwan University,N,"Shang-Yu Su, Chao-Wei Huang and Yun-Nung Chen"
Learning to Ask More: Semi-Autoregressive Sequential Question Generation under Dual-Graph Interaction,2,question answering,,,China,Peking University,N,Zi Chai and Xiaojun Wan
Modeling Code-Switch Languages Using Bilingual Parallel Corpus,2,machine translation,,,Singapore,NUS,N,Grandee Lee and Haizhou Li
SPECTER: Document-level Representation Learning using Citation-informed Transformers,2,text representation,,,US; US,Allen Institute for Artificial Intelligence; UW,N,"Arman Cohan, Sergey Feldman, Iz Beltagy, Doug Downey and Daniel Weld"
A Joint Neural Model for Information Extraction with Global Features,2,information extraction,,,US,UIUC,N,"Ying Lin, Heng Ji, Fei Huang and Lingfei Wu"
Uncertainty-Aware Curriculum Learning for Neural Machine Translation,3;4 ,machine translation,,,Macau,University of Macau,N,"Yikai Zhou, Baosong Yang, Derek F. Wong, Yu Wan and Lidia S. Chao"
Neural Reranking for Dependency Parsing: An Evaluation,2,syntax parsing,,,Germany,Leibniz ScienceCampus,N,Bich-Ngoc Do and Ines Rehbein
Hooks in the Headline: Learning to Generate Headlines with Controlled Styles,4,summarization; style transfer,,,US,MIT,N,"Di Jin, Zhijing Jin, Joey Tianyi Zhou, Lisa Orii and Peter Szolovits"
Learning Architectures from an Extended Search Space for Language Modeling,2,language modeling; model architecture,,,China,"Northeastern University, Shengyang",N,"Yinqiao Li, Chi Hu, Yuhao Zhang, Nuo Xu, Yufan Jiang, Tong Xiao, Jingbo Zhu, Tongran Liu and Changliang Li"
Analyzing Political Parody in Social Media,4,legal and political text; social media,,,Germany,University of Sheffield,N,"Antonios Maronikolakis, Danae Sánchez Villegas, Daniel Preotiuc-Pietro and Nikolaos Aletras"
Automatic Detection of Generated Text is Easiest when Humans are Fooled,2,interpretability,,,US; US,University of Pennsylvania; Google,Google,"Daphne Ippolito, Daniel Duckworth, Chris Callison-Burch and Douglas Eck"
Improving Adversarial Text Generation by Modeling the Distant Future,2,robustness,,,US,Duke University,N,"Ruiyi Zhang, Changyou Chen, Zhe Gan, Wenlin Wang, Dinghan Shen, Guoyin Wang, Zheng Wen and Lawrence Carin"
HAT: Hardware-Aware Transformers for Efficient Natural Language Processing,2,model architecture,,,US,MIT,N,"Hanrui Wang, Zhanghao Wu, Zhijian Liu, Han Cai, Ligeng Zhu, Chuang Gan and Song Han"
Effective Inter-Clause Modeling for End-to-End Emotion-Cause Pair Extraction,3,emotion detection,,,China,Chinese Academy of Sciences,N,"Penghui Wei, Jiahao Zhao and Wenji Mao"
Neighborhood Matching Network for Entity Alignment,2,information extraction,,,China,Peking University,N,"Yuting Wu, Xiao Liu, Yansong Feng, Zheng Wang and Dongyan Zhao"
Frugal Paradigm Completion,2,morphology,,,US,Ohio State University,Google,"Alexander Erdmann, Tom Kenter, Markus Becker and Christian Schallhart"
Improving Truthfulness of Headline Generation,4,summarization; misinformation,misinformation,,Japan,Tokyo Institute of Technology,N,"Kazuki Matsumaru, Sho Takase and Naoaki Okazaki"
Unsupervised Multimodal Neural Machine Translation with Pseudo Visual Pivoting,3,machine translation; language grounding,,,US,CMU,N,"Po-Yao Huang, Junjie Hu, Xiaojun Chang and Alexander Hauptmann"
Low-Dimensional Hyperbolic Knowledge Graph Embeddings,2,knowledge graph,,,US,Stanford University,Google,"Ines Chami, Adva Wolf, Da-Cheng Juan, Frederic Sala, Sujith Ravi and Christopher Ré"
Programming in Natural Language with fuSE: Synthesizing Methods from Spoken Utterances Using Deep Natural Language Understanding,4,code,,,Germany,Karlsruhe Institute of Technology,N,"Sebastian Weigelt, Vanessa Steurer, Tobias Hey and Walter F. Tichy"
Towards Robustifying NLI Models Against Lexical Dataset Biases,2,bias; robustness,bias,,US,UNC Chapel Hill,N,Xiang Zhou and Mohit Bansal
